Source: pico-datasheet.pdf
Page: 26
----------------------------------------
Label           | Confidence | BBox (x,y,w,h)
O               | 0.67       | (1133, 966, 16, 11)
D               | 0.74       | (2739, 961, 6, 8)
O               | 0.70       | (2044, 961, 7, 8)
O               | 0.63       | (3434, 954, 10, 14)
O               | 0.64       | (1947, 954, 11, 15)
X2O             | 0.73       | (2705, 930, 31, 39)
2XIDB           | 0.69       | (2011, 930, 39, 39)
D1              | 0.66       | (1914, 938, 10, 31)
43O333          | 0.67       | (3794, 863, 22, 85)
LU              | 0.66       | (4022, 907, 10, 36)
LL              | 0.69       | (3908, 907, 12, 36)
O               | 0.69       | (1907, 930, 7, 8)
I               | 0.60       | (1600, 930, 10, 16)
4D1D            | 0.73       | (1549, 907, 27, 38)
U               | 0.74       | (1919, 911, 15, 11)
U               | 0.75       | (1571, 888, 16, 11)
N               | 0.61       | (4102, 886, 15, 16)
O               | 0.69       | (3574, 886, 10, 16)
1               | 0.68       | (2053, 884, 6, 15)
4U              | 0.81       | (2705, 861, 33, 15)
O               | 0.70       | (3955, 861, 10, 13)
L               | 0.70       | (3908, 861, 12, 12)
LLLL            | 0.67       | (3399, 791, 11, 84)
4               | 0.84       | (2010, 861, 11, 15)
LI1             | 0.70       | (1762, 861, 32, 15)
4               | 0.61       | (1688, 861, 6, 15)
IILUO           | 0.69       | (1385, 838, 38, 38)
4               | 0.74       | (1193, 861, 11, 14)
O4O             | 0.74       | (1029, 861, 40, 15)
LH              | 0.68       | (2487, 851, 24, 16)
N               | 0.76       | (2201, 851, 12, 16)
U               | 0.67       | (4502, 844, 10, 13)
O               | 0.68       | (697, 844, 10, 13)
1               | 0.65       | (2545, 840, 6, 15)
O               | 0.69       | (2138, 840, 10, 16)
VLL             | 0.68       | (3947, 838, 53, 12)
4               | 0.75       | (3433, 838, 11, 14)
VL              | 0.64       | (1322, 815, 14, 35)
1               | 0.62       | (2028, 837, 5, 16)
O               | 0.65       | (3805, 817, 11, 15)
L               | 0.61       | (1252, 815, 12, 12)
UI              | 0.73       | (2484, 805, 26, 16)
N               | 0.67       | (2201, 805, 12, 15)
X               | 0.82       | (2422, 804, 15, 13)
X               | 0.80       | (2260, 804, 15, 13)
34              | 0.73       | (3573, 770, 11, 39)
1               | 0.64       | (1781, 794, 6, 15)
J1              | 0.67       | (1061, 791, 18, 16)
QLN             | 0.66       | (3917, 789, 50, 15)
43O3            | 0.68       | (3793, 724, 23, 62)
4               | 0.82       | (2248, 754, 16, 10)
L               | 0.62       | (3435, 745, 6, 15)
LL              | 0.67       | (3399, 722, 11, 38)
D               | 0.62       | (1458, 743, 12, 15)
4               | 0.62       | (3575, 724, 6, 15)
2U2             | 0.64       | (2312, 712, 33, 16)
J               | 0.63       | (3625, 689, 8, 16)
33              | 0.65       | (4014, 673, 35, 16)
O               | 0.60       | (3880, 673, 13, 16)
ID1             | 0.68       | (1339, 652, 34, 15)
1               | 0.63       | (2325, 641, 6, 15)
T               | 0.63       | (337, 498, 17, 26)
1               | 0.73       | (4118, 491, 5, 12)
3               | 0.74       | (2604, 491, 8, 13)
4               | 0.74       | (1847, 491, 9, 12)
5               | 0.75       | (1092, 491, 8, 13)
